student_id,student_idx,name,amount_rupees,status,category
b1000000-0000-4000-8000-000000000001,1,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000001,1,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000002,2,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000002,2,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000003,3,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000003,3,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000004,4,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000004,4,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000005,5,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000005,5,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000006,6,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000006,6,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000007,7,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000007,7,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000008,8,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000008,8,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000009,9,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000009,9,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000010,10,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000010,10,Lab & Activity,4500,Paid,Lab
b1000000-0000-4000-8000-000000000011,11,Tuition — Term 1,18500,Unpaid,Tuition
b1000000-0000-4000-8000-000000000011,11,Lab & Activity,4500,Unpaid,Lab
b1000000-0000-4000-8000-000000000012,12,Tuition — Term 1,18500,Paid,Tuition
b1000000-0000-4000-8000-000000000012,12,Lab & Activity,4500,Unpaid,Lab
